Epoch;Time;Train_Loss;Val_Loss
1;298.73;6.8713;6.4680
1;303.12;6.8701;6.4491
2;306.68;6.1497;5.9764
3;310.14;5.7786;5.6719
4;307.24;5.5223;5.4521
5;303.97;5.3234;5.2563
6;307.79;5.1623;5.0918
7;307.45;5.0282;4.9596
8;302.76;4.9139;4.8451
9;303.88;4.8135;4.7312
10;304.25;4.7258;4.6479
11;304.52;4.6477;4.5540
12;303.82;4.5788;4.4783
13;298.70;4.5180;4.4251
14;313.74;4.4627;4.3567
15;302.54;4.4140;4.3141
16;299.88;4.3686;4.2680
17;298.77;4.3277;4.2262
18;300.77;4.2910;4.1908
19;310.47;4.2561;4.1620
20;323.51;4.2250;4.1294
21;354.18;4.1961;4.1048
22;338.36;4.1692;4.0757
23;308.52;4.1436;4.0518
24;302.41;4.1207;4.0253
25;308.15;4.0983;4.0025
26;300.04;4.0784;3.9939
27;300.89;4.0589;3.9707
28;314.83;4.0403;3.9548
29;327.83;4.0242;3.9376
30;354.33;4.0077;3.9223
31;337.58;3.9925;3.9099
32;300.05;3.9778;3.8947
33;301.91;3.9642;3.8828
34;298.88;3.9508;3.8732
35;301.47;3.9386;3.8573
36;303.39;3.9256;3.8502
37;299.19;3.9149;3.8445
38;301.01;3.9035;3.8331
39;1127.55;3.8929;3.8246
40;299.28;3.8825;3.8178
41;301.26;3.8727;3.8066
42;300.58;3.8633;3.8019
43;299.11;3.8540;3.7898
44;300.38;3.8458;3.7754
45;300.82;3.8369;3.7760
46;305.38;3.8289;3.7676
47;300.70;3.8213;3.7673
48;303.47;3.8137;3.7546
49;302.02;3.8060;3.7565
50;301.92;3.7986;3.7395
51;300.27;3.7917;3.7333
52;303.62;3.7856;3.7309
53;300.38;3.7787;3.7326
54;300.46;3.7723;3.7159
55;300.45;3.7663;3.7165
56;300.77;3.7600;3.7115
57;301.61;3.7541;3.7050
58;303.28;3.7485;3.7028
1;177.63;3.7394;3.7053
2;178.60;3.7355;3.7057
3;179.31;3.7307;3.6998
4;183.85;3.7262;3.6895
5;184.45;3.7231;3.6929
6;183.46;3.7178;3.6889
7;181.21;3.7162;3.6871
8;177.61;3.7150;3.6822
9;183.23;3.7105;3.6823
10;182.96;3.7063;3.6787
11;184.79;3.7049;3.6790
12;182.33;3.6992;3.6878
13;186.02;3.6973;3.6741
14;182.43;3.6943;3.6749
15;180.90;3.6961;3.6601
16;193.00;3.6904;3.6642
17;213.71;3.6896;3.6669
18;213.57;3.6881;3.6588
19;212.71;3.6832;3.6588
20;220.40;3.6819;3.6567
21;223.15;3.6776;3.6607
22;223.64;3.6769;3.6499
23;224.87;3.6751;3.6529
24;225.39;3.6697;3.6452
25;220.13;3.6662;3.6439
26;213.88;3.6652;3.6435
27;213.88;3.6649;3.6416
28;200.58;3.6609;3.6353
29;191.32;3.6591;3.6389
30;219.94;3.6525;3.6410
31;213.95;3.6561;3.6346
32;213.53;3.6535;3.6295
33;212.90;3.6485;3.6365
34;217.15;3.6455;3.6317
35;217.03;3.6403;3.6357
36;216.67;3.6397;3.6292
37;217.31;3.6392;3.6251
38;214.92;3.6416;3.6311
39;214.04;3.6364;3.6309
40;213.92;3.6366;3.6197
