Epoch;Time;Train_Loss;Val_Loss
1;123.48;7.2116;6.8021
2;121.85;6.5022;6.5600
3;127.43;6.2631;6.4081
4;123.35;6.1195;6.2891
5;123.99;6.0086;6.1881
6;123.73;5.9141;6.1078
7;123.52;5.8286;6.0145
8;121.37;5.7507;5.9582
9;123.73;5.6797;5.8795
10;122.52;5.6131;5.8323
11;121.21;5.5499;5.7761
12;124.93;5.4929;5.7247
13;119.78;5.4393;5.6806
14;118.66;5.3886;5.6406
15;118.03;5.3424;5.6001
16;120.33;5.2971;5.5756
17;122.07;5.2556;5.5414
18;118.40;5.2164;5.5141
19;119.44;5.1784;5.4843
20;121.92;5.1439;5.4515
21;121.22;5.1099;5.4351
22;121.61;5.0789;5.3999
23;120.28;5.0477;5.3774
24;121.51;5.0187;5.3667
25;121.71;4.9928;5.3388
26;120.47;4.9663;5.3201
27;120.71;4.9416;5.2939
28;124.07;4.9168;5.2873
29;122.50;4.8955;5.2666
30;123.42;4.8724;5.2485
31;122.71;4.8511;5.2340
32;126.52;4.8305;5.2227
33;121.37;4.8110;5.2030
34;124.66;4.7927;5.1870
35;123.79;4.7726;5.1724
36;121.63;4.7558;5.1559
37;119.51;4.7382;5.1449
38;123.27;4.7220;5.1258
39;142.70;4.7060;5.1199
40;137.74;4.6900;5.1059
41;129.19;4.6737;5.1008
42;133.26;4.6598;5.0880
43;121.24;4.6444;5.0753
44;120.58;4.6294;5.0649
45;121.64;4.6164;5.0559
46;121.46;4.6030;5.0435
47;121.22;4.5881;5.0276
48;120.91;4.5772;5.0181
49;120.52;4.5651;5.0129
50;121.85;4.5522;5.0028
51;119.38;4.5405;4.9949
52;120.42;4.5287;4.9840
53;120.41;4.5170;4.9746
54;118.48;4.5047;4.9683
55;120.08;4.4936;4.9640
56;119.53;4.4824;4.9423
57;118.75;4.4718;4.9447
58;123.62;4.4617;4.9280
59;117.65;4.4513;4.9244
60;119.25;4.4422;4.9185
61;120.59;4.4310;4.9117
62;126.10;4.4215;4.9026
63;121.53;4.4118;4.8985
64;120.91;4.4022;4.8838
65;122.23;4.3931;4.8836
66;121.79;4.3840;4.8725
67;121.13;4.3751;4.8637
68;121.61;4.3648;4.8581
69;123.34;4.3560;4.8459
70;128.14;4.3467;4.8431
71;126.36;4.3373;4.8390
72;124.62;4.3303;4.8275
73;119.74;4.3219;4.8166
74;119.31;4.3139;4.8238
75;124.78;4.3055;4.8130
76;123.50;4.2975;4.7956
77;123.19;4.2889;4.7939
78;124.66;4.2814;4.7894
79;122.88;4.2738;4.7806
80;121.11;4.2650;4.7768
81;116.01;4.2576;4.7611
82;120.24;4.2497;4.7720
83;120.38;4.2421;4.7643
84;121.08;4.2338;4.7564
85;123.47;4.2287;4.7445
86;119.94;4.2202;4.7429
87;124.11;4.2140;4.7322
88;124.15;4.2071;4.7251
89;121.57;4.1991;4.7245
90;122.13;4.1934;4.7162
91;128.32;4.1859;4.7135
92;124.45;4.1803;4.7104
93;124.21;4.1734;4.6993
94;118.65;4.1680;4.6919
95;128.89;4.1605;4.6876
96;121.08;4.1544;4.6914
97;123.34;4.1480;4.6859
98;122.81;4.1413;4.6746
99;120.99;4.1359;4.6673
100;123.90;4.1293;4.6657
101;122.83;4.1236;4.6618
102;121.48;4.1173;4.6586
103;122.41;4.1116;4.6529
104;121.83;4.1068;4.6437
105;122.02;4.0990;4.6482
106;123.82;4.0931;4.6362
107;124.38;4.0874;4.6285
108;123.10;4.0836;4.6239
109;126.62;4.0779;4.6239
110;121.97;4.0737;4.6248
111;125.76;4.0650;4.6127
112;125.43;4.0621;4.6031
113;129.10;4.0577;4.6013
114;126.55;4.0515;4.5980
115;124.09;4.0464;4.5921
116;127.29;4.0420;4.5888
117;124.74;4.0341;4.5890
118;136.10;4.0305;4.5801
119;129.04;4.0255;4.5789
120;127.15;4.0218;4.5809
121;128.66;4.0158;4.5748
122;125.62;4.0115;4.5724
123;128.85;4.0068;4.5669
124;128.30;4.0019;4.5561
125;128.32;3.9979;4.5609
126;126.14;3.9918;4.5545
127;126.93;3.9892;4.5474
128;124.19;3.9841;4.5424
129;127.76;3.9801;4.5455
130;124.24;3.9749;4.5379
131;126.15;3.9708;4.5312
132;127.43;3.9663;4.5308
133;126.35;3.9649;4.5242
134;128.12;3.9585;4.5225
135;125.59;3.9544;4.5184
136;128.13;3.9511;4.5089
137;124.12;3.9461;4.5129
138;126.81;3.9410;4.5090
139;126.04;3.9369;4.5003
140;126.97;3.9331;4.5041
141;127.81;3.9289;4.5056
142;128.02;3.9255;4.4957
143;124.44;3.9223;4.4945
144;123.79;3.9173;4.4922
145;123.83;3.9139;4.4951
146;124.69;3.9091;4.4789
147;124.85;3.9066;4.4811
148;124.57;3.9013;4.4788
149;125.62;3.8984;4.4711
150;126.17;3.8954;4.4733
151;123.61;3.8908;4.4686
152;125.41;3.8883;4.4600
153;123.98;3.8860;4.4562
154;121.74;3.8814;4.4633
155;121.66;3.8780;4.4588
156;120.42;3.8740;4.4556
157;118.84;3.8700;4.4493
158;121.87;3.8666;4.4444
159;122.39;3.8626;4.4490
160;121.02;3.8613;4.4370
161;120.10;3.8580;4.4413
162;119.20;3.8532;4.4392
163;120.35;3.8498;4.4334
164;120.77;3.8468;4.4232
165;120.66;3.8436;4.4209
166;124.90;3.8394;4.4279
167;120.47;3.8390;4.4236
168;127.79;3.8346;4.4237
169;126.59;3.8310;4.4134
