Epoch;Time;Train_Loss;Val_Loss
170;129.39;3.8285;4.4110
171;126.03;3.8237;4.4141
172;126.36;3.8212;4.4090
173;124.01;3.8199;4.4092
174;124.26;3.8155;4.4008
175;126.02;3.8129;4.3922
176;128.79;3.8094;4.4000
177;127.34;3.8056;4.3930
178;121.28;3.8041;4.3965
179;122.22;3.8007;4.3930
180;120.40;3.7971;4.3947
181;121.61;3.7943;4.3791
182;123.21;3.7915;4.3778
183;122.39;3.7885;4.3830
184;122.76;3.7871;4.3785
185;123.91;3.7837;4.3775
186;122.07;3.7818;4.3731
187;123.21;3.7787;4.3704
188;123.38;3.7743;4.3776
189;120.80;3.7725;4.3744
190;118.11;3.7693;4.3647
191;120.63;3.7684;4.3673
192;124.94;3.7636;4.3626
193;128.60;3.7602;4.3588
194;129.08;3.7582;4.3599
195;124.39;3.7548;4.3514
196;130.03;3.7545;4.3554
197;127.24;3.7512;4.3512
198;130.11;3.7484;4.3445
199;128.91;3.7460;4.3492
200;125.69;3.7435;4.3464
201;126.79;3.7398;4.3483
202;130.18;3.7382;4.3385
203;122.92;3.7362;4.3345
204;125.18;3.7333;4.3360
205;121.10;3.7304;4.3375
206;121.22;3.7286;4.3356
207;123.02;3.7259;4.3311
208;125.21;3.7225;4.3268
209;121.13;3.7202;4.3272
210;120.05;3.7182;4.3234
211;119.81;3.7162;4.3245
212;121.12;3.7120;4.3190
