Epoch;Time;Train_Loss;Val_Loss
1;245.63;4.7865;3.4503
2;244.49;2.8817;2.6915
3;245.24;2.5189;2.5825
4;245.55;2.4523;2.5547
5;245.61;2.4260;2.5376
6;245.32;2.4081;2.5235
7;246.05;2.3918;2.5122
8;246.27;2.3765;2.4987
9;244.60;2.3602;2.4851
10;246.68;2.3431;2.4701
11;246.64;2.3254;2.4570
12;245.71;2.3073;2.4431
13;244.94;2.2891;2.4295
14;247.63;2.2710;2.4166
15;247.30;2.2540;2.4027
16;255.35;2.2372;2.3924
17;2449.77;2.2212;2.3794
18;256.33;2.2049;2.3689
19;255.68;2.1890;2.3582
20;255.40;2.1727;2.3464
21;253.19;2.1568;2.3342
22;252.63;2.1413;2.3267
23;255.66;2.1262;2.3167
24;251.57;2.1114;2.3085
25;252.80;2.0966;2.2981
26;257.02;2.0826;2.2923
27;256.65;2.0688;2.2828
28;256.93;2.0560;2.2747
29;257.81;2.0431;2.2668
30;253.93;2.0310;2.2605
31;251.81;2.0192;2.2550
32;251.93;2.0074;2.2458
33;257.48;1.9964;2.2398
34;259.89;1.9856;2.2359
35;258.23;1.9748;2.2264
36;254.48;1.9647;2.2192
37;255.80;1.9545;2.2164
38;257.05;1.9447;2.2111
39;254.22;1.9353;2.2033
40;252.73;1.9257;2.1954
41;255.60;1.9170;2.1927
42;253.50;1.9082;2.1871
43;253.67;1.8994;2.1800
44;254.81;1.8903;2.1753
45;259.12;1.8827;2.1731
46;255.29;1.8746;2.1668
47;255.90;1.8661;2.1636
48;256.80;1.8585;2.1579
49;256.72;1.8515;2.1498
50;253.78;1.8437;2.1478
51;254.74;1.8366;2.1451
52;255.60;1.8294;2.1404
53;257.71;1.8228;2.1341
