Epoch;Time;Train_Loss;Val_Loss
1;568.77;6.1226;5.8487
2;579.29;5.3165;5.3928
3;579.63;4.9360;5.1076
4;565.13;4.6849;4.9017
5;564.99;4.4962;4.7439
6;566.55;4.3427;4.5863
7;583.80;4.2166;4.4775
8;580.02;4.1127;4.3644
9;562.83;4.0235;4.2988
10;573.53;3.9467;4.2098
11;575.72;3.8792;4.1439
12;593.18;3.8181;4.0767
13;590.51;3.7635;4.0315
14;580.22;3.7136;3.9798
15;571.36;3.6684;3.9256
16;573.87;3.6255;3.8904
17;581.06;3.5866;3.8549
18;589.74;3.5506;3.8145
19;580.99;3.5168;3.7743
20;570.09;3.4863;3.7555
21;564.90;3.4574;3.7236
22;588.32;3.4302;3.6850
23;587.22;3.4058;3.6650
24;716.32;3.3828;3.6472
25;739.53;3.3610;3.6308
26;586.77;3.3412;3.6069
27;601.03;3.3225;3.6046
28;596.94;3.3044;3.5810
29;594.70;3.2881;3.5682
30;581.69;3.2726;3.5597
31;573.96;3.2582;3.5494
32;581.69;3.2443;3.5308
33;585.31;3.2317;3.5130
34;580.67;3.2188;3.5028
35;573.17;3.2074;3.4921
36;523.62;3.1958;3.4946
37;530.39;3.1849;3.4796
38;546.65;3.1750;3.4741
39;517.17;3.1654;3.4555
40;517.07;3.1555;3.4527
41;517.30;3.1466;3.4458
42;528.65;3.1380;3.4317
43;531.06;3.1291;3.4276
44;530.49;3.1215;3.4220
45;526.05;3.1137;3.4209
46;544.56;3.1058;3.4134
47;529.92;3.0990;3.4064
48;548.62;3.0916;3.4009
49;552.58;3.0851;3.3934
50;555.49;3.0787;3.3873
51;536.64;3.0722;3.3813
52;523.98;3.0657;3.3830
53;523.23;3.0599;3.3773
54;539.81;3.0540;3.3709
55;537.09;3.0482;3.3644
56;533.53;3.0427;3.3572
57;519.33;3.0375;3.3546
58;525.46;3.0321;3.3478
59;534.51;3.0268;3.3433
60;557.27;3.0217;3.3413
61;561.97;3.0170;3.3451
62;548.31;3.0121;3.3418
63;539.91;3.0074;3.3299
64;540.26;3.0028;3.3258
65;552.64;2.9982;3.3309
66;563.60;2.9944;3.3278
67;556.39;2.9902;3.3171
68;551.67;2.9858;3.3165
69;542.63;2.9813;3.3160
70;535.20;2.9776;3.3067
71;547.65;2.9737;3.3087
72;536.17;2.9703;3.3101
73;531.06;2.9663;3.3101
74;522.92;2.9631;3.2974
75;523.70;2.9595;3.2929
76;530.20;2.9561;3.2998
77;136.23;2.9381;3.2961
78;384.52;2.9504;3.2878
79;409.32;2.9460;3.2892
80;419.43;2.9432;3.2807
81;412.27;2.9396;3.2820
82;413.59;2.9364;3.2838
83;415.82;2.9335;3.2722
84;418.55;2.9306;3.2811
85;412.28;2.9278;3.2741
86;412.62;2.9250;3.2758
87;421.91;2.9222;3.2682
88;436.41;2.9195;3.2714
89;437.05;2.9163;3.2613
90;438.06;2.9142;3.2615
91;437.16;2.9115;3.2591
92;440.65;2.9093;3.2655
93;437.29;2.9063;3.2644
94;439.44;2.9041;3.2547
95;439.90;2.9020;3.2540
96;439.98;2.8990;3.2517
97;440.70;2.8971;3.2522
98;443.20;2.8947;3.2473
99;439.31;2.8925;3.2425
100;437.12;2.8900;3.2412
